Model,Part,Accuracy,Precision,Recall,F1 Score,ROC AUC
Decision Tree,Part 1,0.6747967479674797,0.7380952380952381,0.775,0.7560975609756098,0.6316860465116279
Random Forest,Part 1,0.7723577235772358,0.76,0.95,0.8444444444444444,0.748982558139535
Gradient Boosting,Part 1,0.7479674796747967,0.7525773195876289,0.9125,0.8248587570621468,0.7186046511627907
AdaBoost,Part 1,0.7967479674796748,0.7669902912621359,0.9875,0.8633879781420765,0.7093023255813954
Decision Tree,Part 2,0.7100591715976331,0.6710526315789473,0.68,0.6754966887417219,0.7070212765957448
Random Forest,Part 2,0.7928994082840237,0.717391304347826,0.88,0.7904191616766467,0.86
Gradient Boosting,Part 2,0.8047337278106509,0.71,0.9466666666666667,0.8114285714285714,0.8571631205673761
AdaBoost,Part 2,0.7514792899408284,0.6601941747572816,0.9066666666666666,0.7640449438202247,0.8152482269503547
